Site,Date,NO3,d18O,d17O
TERR,6/20/16,0.1211,-1.78,-0.88
TERR,7/5/16,0.1127,1.34,1.38
TERR,7/18/16,0.1711,-4.69,-2.17
TERR,8/1/16,0.2408,2.04,1.86
TERR,8/15/16,0.1441,-2.79,-1.34
TERR,8/29/16,0.125,-2.62,-0.59
TERR,9/12/16,0.175,2.56,1.02
TERR,9/30/16,0.452,2.39,1.46
TERR,10/3/16,0.195,1.41,1.13
TERR,10/17/16,0.043,1.79,0.32
TERR,11/7/16,0.018,3.57,3.1
TERR,12/5/16,0.12,10.72,7.93
TERR,12/19/16,0.6354,1.09,0.02
TERR,1/9/17,0.5175,1.25,0.69
TERR,1/23/17,0.575,0.56,0.13
TERR,2/6/17,0.306,-1.53,-0.44
TERR,2/12/17,0.353,1.67,2.29
TERR,2/20/17,0.258,-1.01,0.05
TERR,3/1/17,0.3,6.75,4.65
TERR,3/6/17,0.267,-0.35,-0.3
TERR,3/19/17,0.407,-0.48,0.9
TERR,3/31/17,0.302,2.69,2.92
TERR,4/17/17,0.159,5.3,5.46
TERR,5/1/17,0.151,2.27,1.57
TERR,5/5/17,0.421,3.07,1.7
TERR,5/15/17,0.238,2.06,1.25
TERR,5/30/17,0.191,1.24,0.49
TERR,6/15/17,0.173,-1.79,-0.8
TERR,7/10/17,0.157,-2.61,-0.28
TERR,7/23/17,0.181,0.89,1.06
TERR,8/4/17,0.168,0.7,2.15
TERR,8/21/17,0.1223,0.63,0.96
TERR,9/4/17,0.0781,1.09,0.39
TERR,9/18/17,0.098,-4.18,-2.08
TOW,10/1/15,0.1477,7.62,5.31
TOW,12/8/15,0.6007,3.66,1.7
TOW,12/16/15,0.2131,2.41,1.65
TOW,1/11/16,0.7409,6.47,3.85
TOW,1/12/16,0.794,-1.07,0.53
TOW,1/20/16,0.6448,3.25,1.25
TOW,2/4/16,0.8517,0.67,0.43
TOW,2/17/16,0.5273,6.49,4.62
TOW,2/22/16,0.7124,0.25,0.61
TOW,2/23/16,0.7173,0.33,0.88
TOW,3/15/16,0.394,5.33,3.31
TOW,3/24/16,0.3079,5.78,3.93
TOW,4/6/16,0.2282,3.58,2.36
TOW,4/11/16,0.2013,3.68,2.49
TOW,5/2/16,0.2292,4.67,3.82
TOW,5/4/16,0.2011,3.41,2.03
TOW,5/17/16,0.0955,3.74,1.81
TOW,5/23/16,0.2692,3.43,3.07
TOW,6/3/16,0.3916,2.6,1.8
TOW,6/7/16,0.4978,0.93,0.57
TOW,6/17/16,0.278,3.04,1.82
TOW,6/22/16,0.2532,2,2.7
TOW,7/18/16,0.035,0.63,2.4
TOW,7/20/16,0.0284,0.75,1.34
TOW,8/16/16,0.0201,3.19,2.31
TOW,8/22/16,0.0134,5.79,4.17
TOW,9/30/16,0.0148,8.54,7.29
TOW,10/11/16,0.1215,6.32,3.62
TOW,12/7/16,0.2495,4.28,3.95
TOW,12/13/16,0.6162,7.13,4.58
TOW,1/4/17,0.7456,5.65,3.07
TOW,1/17/17,0.6321,6.16,4.04
TOW,1/24/17,0.8677,4.35,2.06
TOW,1/31/17,0.7003,4,2.44
TOW,2/13/17,0.6243,4.29,3.43
TOW,2/15/17,0.669,3.14,1.91
TOW,2/22/17,0.3735,3.89,1.63
TOW,3/2/17,0.5583,1.42,2.11
TOW,3/20/17,0.5502,2.2,1.3
TOW,3/29/17,0.3546,1.01,0.86
TOW,4/10/17,0.3786,0.64,0.7
TOW,4/17/17,0.2457,4.56,4.48
TOW,5/6/17,0.5304,3.55,2.21
TOW,5/15/17,0.4635,-4.02,-2.03
TOW,5/22/17,0.2656,5.55,3.48
TOW,6/12/17,0.2158,1.96,1.01
TOW,6/26/17,0.6229,4.27,4.05
TOW,7/11/17,0.303,3.92,2.02
TOW,7/24/17,0.2352,3.66,3.1
TOW,8/8/17,0.2893,3.62,2.95
TOW,8/29/17,0.0233,1.33,1.74
TOW,9/12/17,0.0374,1.01,1.24
TOW,9/26/17,0.0243,-2.67,-1.25
WIL,10/19/15,0.0971,2.57,2.92
WIL,11/4/15,0.3268,4.05,2.96
WIL,11/17/15,0.191,0.94,2.32
WIL,12/2/15,0.5976,3,2.6
WIL,12/8/15,1.0429,1.23,0.17
WIL,12/15/15,0.567,3.59,2.89
WIL,1/12/16,1.2924,-0.09,0.41
WIL,1/26/16,0.9084,-3.03,0.75
WIL,2/2/16,1.5007,0.09,0
WIL,2/8/16,1.2558,1.1,0.9
WIL,2/22/16,1.2695,-0.37,-0.2
WIL,2/23/16,1.2537,-0.07,0.17
WIL,3/14/16,0.8632,2.89,2.26
WIL,3/15/16,1.0637,2.2,3.3
WIL,3/22/16,0.7699,2.2,1.4
WIL,4/6/16,0.5564,2.87,2.33
WIL,4/12/16,0.5133,2.93,1.91
WIL,5/4/16,0.5241,3.13,2
WIL,5/7/16,0.7186,2.81,1.36
WIL,5/16/16,0.4214,1.16,1.04
WIL,5/21/16,0.617,3.69,2.36
WIL,6/3/16,0.7788,2.45,2.11
WIL,6/20/16,0.316,-2.78,-1.69
WIL,7/13/16,0.146,2.17,1.75
WIL,7/18/16,0.1377,-2.12,-0.85
WIL,8/16/16,0.1142,1.78,1.54
WIL,8/30/16,0.1177,0.26,0.85
WIL,9/13/16,0.1299,-0.37,0.39
WIL,9/27/16,0.1273,-2.37,0.44
WIL,9/30/16,1.0998,2.52,1.59
WIL,10/11/16,0.7476,5.02,3.42
WIL,10/24/16,0.0543,-0.14,0.71
WIL,11/15/16,0.0828,1.48,1.54
WIL,11/17/16,0.0935,-1.26,-0.88
WIL,12/7/16,1.2697,2.98,2.28
WIL,12/13/16,1.1133,4.92,3.69
WIL,12/19/16,1.5878,2.58,2.67
WIL,1/12/17,1.0668,3.66,3.27
WIL,1/17/17,1.216,1.65,2.19
WIL,1/24/17,1.4931,0.02,1.7
WIL,1/25/17,1.4724,2.29,2.89
WIL,2/13/17,1.2634,1.97,1.53
WIL,2/15/17,1.2002,2.36,1.25
WIL,2/21/17,0.8387,2.46,1.16
WIL,3/1/17,0.9104,3.61,3.44
WIL,3/20/17,0.9847,5.05,3.89
WIL,3/28/17,0.8529,5.2,1.94
WIL,4/10/17,0.8305,4.31,2.7
WIL,4/13/17,0.6616,4.01,3.05
WIL,5/6/17,0.9787,3.14,3.64
WIL,5/15/17,0.8741,2.29,1.55
WIL,5/18/17,0.6951,4.3,3.12
WIL,6/12/17,0.3293,1.54,2.19
WIL,6/15/17,0.3283,4.05,2.97
WIL,6/24/17,0.6424,0.66,1.56
WIL,7/20/17,0.6362,1.42,1.57
WIL,8/8/17,0.5204,2.84,1.8
WIL,8/21/17,0.2785,0.94,1.48
WIL,9/12/17,0.1478,3,1.32
WIL,9/18/17,0.1092,1.15,0.26
